급수,대표음,한자,대표훈
6급,우,友,벗
6급,우,右,오른쪽
6급,우,又,또
6급,유,有,있다
6급,육,肉,고기
6급,자,字,글자
6급,작,作,짓다
6급,재,在,있다
6급,재,才,재주
6급,전,前,앞
6급,전,全,온전하다
6급,조,朝,아침
6급,족,族,겨레
6급,존,存,있다
6급,좌,左,왼쪽
6급,중,重,무겁다
6급,지,止,그치다
6급,지,地,땅
6급,지,至,이르다
6급,품,品,물건
6급,합,合,합하다
6급,화,化,되다
6급,황,黃,누렇다
6급,후,後,뒤
준5급,가,歌,노래
준5급,간,間,사이
준5급,감,甘,달다
준5급,강,強,강하다
준5급,개,開,열다
준5급,경,輕,가볍다
준5급,경,京,서울
준5급,경,競,다투다
준5급,계,計,셈하다
준5급,고,固,굳다
준5급,고,苦,괴롭다
준5급,고,考,생각하다
준5급,곡,曲,굽다/가락
준5급,공,功,공
준5급,과,科,과목
준5급,관,關,관계하다
준5급,구,救,구원하다
준5급,군,郡,고을
준5급,근,根,뿌리
준5급,기,期,기약하다
준5급,단,端,바르다/끝
준5급,단,短,짧다
준5급,대,待,기다리다
준5급,덕,德,덕
준5급,도,都,도읍
준5급,독,獨,홀로
준5급,독/두,讀,읽다/구절
준5급,동,童,아이
준5급,득,得,얻다
준5급,랭,冷,차다
준5급,려,旅,나그네
준5급,례,禮,예도
준5급,료,料,헤아리다
준5급,류,類,무리
준5급,리,理,다스리다, 이치
준5급,리,利,이롭다
준5급,망,亡,망하다
준5급,매,每,매양
준5급,문,聞,듣다
준5급,문,問,묻다
준5급,물,物,물건
준5급,미,美,아름답다
준5급,박,朴,순박하다/성
준5급,발,發,피다
준5급,방,放,놓다
준5급,병,病,병
준5급,보,步,걷다
준5급,복,服,옷
준5급,부,富,부유하다
준5급,부,部,떼
준5급,비,比,견주다
준5급,사,社,모이다
준5급,사,死,죽다
준5급,사,使,부리다
준5급,산,算,셈하다
준5급,석,席,자리
준5급,설,雪,눈
준5급,성,性,성품
준5급,소,消,사라지다
준5급,수,樹,나무
준5급,습,習,익히다
준5급,승,勝,이기다
준5급,시,始,처음
준5급,시,示,보이다
준5급,시,詩,시
준5급,식,植,심다
준5급,식,式,법
준5급,신,臣,신하
준5급,신,信,믿다
준5급,신,新,새롭다
준5급,씨,氏,성씨
준5급,악/오,惡,악하다/미워하다
준5급,애,愛,사랑
준5급,야,野,들
준5급,야,夜,밤
준5급,약,藥,약
준5급,약,弱,약하다
준5급,어,魚,물고기
준5급,영,英,꽃부리
준5급,용,勇,날래다
준5급,운,運,움직이다
준5급,운,雲,구름
준5급,원,園,동산
준5급,원,原,근원
준5급,원,元,으뜸
준5급,위,位,자리
준5급,은,銀,은
준5급,음,音,소리
준5급,인,因,인하다
준5급,자,者,사람
준5급,장,章,글
준5급,전,電,번개
준5급,전,戰,싸움
준5급,조,助,돕다
준5급,죽,竹,대
준5급,지,紙,종이
준5급,지,支,지탱하다
준5급,집,集,모이다
준5급,차,次,버금
준5급,창,窓,창
준5급,창,唱,부르다
준5급,철,鐵,쇠
준5급,청,清,맑다
준5급,축,祝,빌다
준5급,치,致,이르다
준5급,친,親,친하다
준5급,택/댁,宅,집
준5급,통,通,통하다
준5급,특,特,특별하다
준5급,패,貝,조개
준5급,편/변,便,편하다/똥오줌
준5급,표,表,겉
준5급,행,幸,다행
준5급,향,香,향기
준5급,혈,血,피
준5급,형,形,모양
준5급,호,號,이름
준5급,화,話,말씀
준5급,화/획,畫,그림/긋다
준5급,훈,訓,가르치다
5급,가,價,값
5급,가,加,더하다
5급,각,各,각각
5급,간,看,보다
5급,감,感,느끼다
5급,개,改,고치다
5급,객,客,손님
5급,거,舉,들다
5급,격,格,격식
5급,경,景,볕
5급,경/갱,更,고치다/다시
5급,계,界,지경
5급,고,告,알리다
5급,과,課,매기다
5급,과,過,지나다
5급,광,廣,넓다
5급,군,君,임금
5급,권,權,권세
5급,귀,歸,돌아가다
5급,귀,貴,귀하다
5급,규,規,법
5급,근,近,가깝다
5급,급,急,급하다
5급,기,技,재주
5급,기,基,터
5급,길,吉,길하다
5급,난,暖,따뜻하다
5급,념,念,생각하다
5급,당,當,마땅하다
5급,당,堂,집
5급,도,圖,그림
5급,도/탁,度,법도/재다
5급,두,頭,머리
5급,등,等,무리
5급,락,落,떨어지다
5급,락/악/요,樂,즐기다/음악/좋아하다
5급,량,兩,두
5급,량,量,헤아리다
5급,련,練,익히다
5급,령,令,명령하다
5급,령,領,거느리다
5급,례,例,법식
5급,로,勞,일하다
5급,록,綠,푸르다
5급,론,論,논하다
5급,륙,陸,뭍
5급,리,李,오얏/성
5급,망,望,바라다
